2026-04-12 18:41:00.503 | INFO     | __main__:main:42 - 启动仿真与融合流程
2026-04-12 18:41:00.567 | INFO     | __main__:main:45 - matplotlib backend = Agg
2026-04-12 18:41:00.880 | INFO     | logging:callHandlers:1762 - Failed to extract font properties from /usr/share/fonts/truetype/noto/NotoColorEmoji.ttf: Can not load face (unknown file format; error code 0x2)
2026-04-12 18:41:01.046 | INFO     | logging:callHandlers:1762 - generated new fontManager
2026-04-12 18:41:01.178 | INFO     | __main__:main:55 - 已加载配置文件：/home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/configs/sim_noise.ini
2026-04-12 18:41:01.216 | INFO     | __main__:main:63 - 真值轨迹生成完成：N=6001, dt=0.1
2026-04-12 18:41:01.273 | INFO     | __main__:main:69 - 传感器数据生成完成：DVL@每拍，USBL 有效点数=121
2026-04-12 18:41:01.464 | INFO     | __main__:main:141 - 融合完成，开始绘图
2026-04-12 18:41:01.713 | INFO     | __main__:main:148 - 已保存图像：2 张 -> /home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/outputs/plots
2026-04-12 18:56:51.592 | INFO     | __main__:main:42 - 启动仿真与融合流程
2026-04-12 18:56:51.649 | INFO     | __main__:main:45 - matplotlib backend = Agg
2026-04-12 18:56:51.798 | INFO     | __main__:main:55 - 已加载配置文件：/home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/configs/sim_noise.ini
2026-04-12 18:56:51.836 | INFO     | __main__:main:63 - 真值轨迹生成完成：N=6001, dt=0.1
2026-04-12 18:56:51.890 | INFO     | __main__:main:69 - 传感器数据生成完成：DVL@每拍，USBL 有效点数=121
2026-04-12 18:56:52.077 | INFO     | __main__:main:141 - 融合完成，开始绘图
2026-04-12 18:56:52.329 | INFO     | __main__:main:148 - 已保存图像：2 张 -> /home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/outputs/plots
2026-04-12 19:00:05.151 | INFO     | __main__:main:42 - 启动仿真与融合流程
2026-04-12 19:00:05.208 | INFO     | __main__:main:45 - matplotlib backend = Agg
2026-04-12 19:00:05.355 | INFO     | __main__:main:55 - 已加载配置文件：/home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/configs/sim_noise.ini
2026-04-12 19:00:05.394 | INFO     | __main__:main:63 - 真值轨迹生成完成：N=6001, dt=0.1
2026-04-12 19:00:05.448 | INFO     | __main__:main:69 - 传感器数据生成完成：DVL@每拍，USBL 有效点数=121
2026-04-12 19:00:05.637 | INFO     | __main__:main:141 - 融合完成，开始绘图
2026-04-12 19:00:05.886 | INFO     | __main__:main:148 - 已保存图像：2 张 -> /home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/outputs/plots
2026-04-12 22:07:57.197 | INFO     | __main__:main:42 - 启动仿真与融合流程
2026-04-12 22:07:57.265 | INFO     | __main__:main:45 - matplotlib backend = Agg
2026-04-12 22:07:57.448 | INFO     | __main__:main:55 - 已加载配置文件：/home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/configs/sim_noise.ini
2026-04-12 22:07:57.490 | INFO     | __main__:main:63 - 真值轨迹生成完成：N=6001, dt=0.1
2026-04-12 22:07:57.591 | INFO     | __main__:main:69 - 传感器数据生成完成：DVL@每拍，USBL 有效点数=121
2026-04-12 22:07:57.810 | INFO     | __main__:main:141 - 融合完成，开始绘图
2026-04-12 22:07:58.089 | INFO     | __main__:main:148 - 已保存图像：2 张 -> /home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/outputs/plots
2026-04-12 22:10:52.619 | INFO     | __main__:main:42 - 启动仿真与融合流程
2026-04-12 22:10:52.688 | INFO     | __main__:main:45 - matplotlib backend = Agg
2026-04-12 22:10:52.862 | INFO     | __main__:main:55 - 已加载配置文件：/home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/configs/sim_noise.ini
2026-04-12 22:10:52.913 | INFO     | __main__:main:63 - 真值轨迹生成完成：N=6001, dt=0.1
2026-04-12 22:10:52.996 | INFO     | __main__:main:69 - 传感器数据生成完成：DVL@每拍，USBL 有效点数=121
2026-04-12 22:10:53.223 | INFO     | __main__:main:141 - 融合完成，开始绘图
2026-04-12 22:10:53.568 | INFO     | __main__:main:148 - 已保存图像：2 张 -> /home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/outputs/plots
2026-04-12 22:11:50.078 | INFO     | __main__:main:42 - 启动仿真与融合流程
2026-04-12 22:11:50.152 | INFO     | __main__:main:45 - matplotlib backend = Agg
2026-04-12 22:11:50.328 | INFO     | __main__:main:55 - 已加载配置文件：/home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/configs/sim_noise.ini
2026-04-12 22:11:50.378 | INFO     | __main__:main:63 - 真值轨迹生成完成：N=6001, dt=0.1
2026-04-12 22:11:50.461 | INFO     | __main__:main:69 - 传感器数据生成完成：DVL@每拍，USBL 有效点数=121
2026-04-12 22:11:50.704 | INFO     | __main__:main:141 - 融合完成，开始绘图
2026-04-12 22:11:51.028 | INFO     | __main__:main:148 - 已保存图像：2 张 -> /home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/outputs/plots
2026-04-12 22:12:08.809 | INFO     | __main__:main:42 - 启动仿真与融合流程
2026-04-12 22:12:08.907 | INFO     | __main__:main:45 - matplotlib backend = Agg
2026-04-12 22:12:09.094 | INFO     | __main__:main:55 - 已加载配置文件：/home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/configs/sim_noise.ini
2026-04-12 22:12:09.148 | INFO     | __main__:main:63 - 真值轨迹生成完成：N=6001, dt=0.1
2026-04-12 22:12:09.223 | INFO     | __main__:main:69 - 传感器数据生成完成：DVL@每拍，USBL 有效点数=121
2026-04-12 22:12:09.463 | INFO     | __main__:main:141 - 融合完成，开始绘图
2026-04-12 22:12:09.777 | INFO     | __main__:main:148 - 已保存图像：2 张 -> /home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/outputs/plots
2026-04-12 22:12:25.037 | INFO     | __main__:main:42 - 启动仿真与融合流程
2026-04-12 22:12:25.111 | INFO     | __main__:main:45 - matplotlib backend = Agg
2026-04-12 22:12:25.296 | INFO     | __main__:main:55 - 已加载配置文件：/home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/configs/sim_noise.ini
2026-04-12 22:12:25.363 | INFO     | __main__:main:63 - 真值轨迹生成完成：N=6001, dt=0.1
2026-04-12 22:12:25.452 | INFO     | __main__:main:69 - 传感器数据生成完成：DVL@每拍，USBL 有效点数=121
2026-04-12 22:12:25.697 | INFO     | __main__:main:141 - 融合完成，开始绘图
2026-04-12 22:12:26.051 | INFO     | __main__:main:148 - 已保存图像：2 张 -> /home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/outputs/plots
2026-04-12 22:12:39.477 | INFO     | __main__:main:42 - 启动仿真与融合流程
2026-04-12 22:12:39.546 | INFO     | __main__:main:45 - matplotlib backend = Agg
2026-04-12 22:12:39.726 | INFO     | __main__:main:55 - 已加载配置文件：/home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/configs/sim_noise.ini
2026-04-12 22:12:39.776 | INFO     | __main__:main:63 - 真值轨迹生成完成：N=6001, dt=0.1
2026-04-12 22:12:39.852 | INFO     | __main__:main:69 - 传感器数据生成完成：DVL@每拍，USBL 有效点数=121
2026-04-12 22:12:40.073 | INFO     | __main__:main:141 - 融合完成，开始绘图
2026-04-12 22:12:40.388 | INFO     | __main__:main:148 - 已保存图像：2 张 -> /home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/outputs/plots
2026-04-12 22:12:58.084 | INFO     | __main__:main:42 - 启动仿真与融合流程
2026-04-12 22:12:58.165 | INFO     | __main__:main:45 - matplotlib backend = Agg
